id;parentId;depth;name;url;full_path
g302;;0;3D tlač a digitálna výroba;3d-tlac-a-digitalna-vyroba;3D tlač a digitálna výroba
g217;g302;1;3D skenery;3d-skenery;3D tlač a digitálna výroba > 3D skenery
g214;g302;1;3D tlačiarne a materiály;3d-tlac;3D tlač a digitálna výroba > 3D tlačiarne a materiály
g216;g302;1;Laserové gravírovacie a rezacie stroje;laserove-gravirovacie-a-rezacie-stroje;3D tlač a digitálna výroba > Laserové gravírovacie a rezacie stroje
g215;g302;1;Tlačiarne a lisy na potlač textilu;tlaciarne-a-lisy-na-potlac-textilu;3D tlač a digitálna výroba > Tlačiarne a lisy na potlač textilu
am1;;0;Auto-moto;auto-moto;Auto-moto
am6;am1;1;Autobatérie, nabíjačky a štartovacie boxy;autobaterie-nabijacky-a-startovacie-boxy;Auto-moto > Autobatérie, nabíjačky a štartovacie boxy
am5;am1;1;Autokozmetika a chémia;autokozmetika--chemia;Auto-moto > Autokozmetika a chémia
am3;am1;1;Autožiarovky a osvetlenie;autoziarovky;Auto-moto > Autožiarovky a osvetlenie
am9;am1;1;Bezpečnostné a núdzové vybavenie;bezpecnost;Auto-moto > Bezpečnostné a núdzové vybavenie
am14;am9;2;Upínacie pásy a gumy;upinacie-gumy-a-pasy;Auto-moto > Bezpečnostné a núdzové vybavenie > Upínacie pásy a gumy
am15;am9;2;Zimné vybavenie;zimne-vybavenie;Auto-moto > Bezpečnostné a núdzové vybavenie > Zimné vybavenie
am13;am9;2;Ťažné laná a vyprosťovanie;tazne-lana;Auto-moto > Bezpečnostné a núdzové vybavenie > Ťažné laná a vyprosťovanie
am16;am1;1;Detské autosedačky;autosedacky;Auto-moto > Detské autosedačky
am12;am1;1;Elektromobilita;elektromobilita;Auto-moto > Elektromobilita
am2;am1;1;Elektronika do auta;elektronika-do-auta;Auto-moto > Elektronika do auta
am7;am1;1;Garáž, dielňa, servis;garaz--dielna--servis;Auto-moto > Garáž, dielňa, servis
am8;am1;1;Karavany a obytné autá;karavany-a-obytne-auta;Auto-moto > Karavany a obytné autá
am10;am1;1;Kolesá a pneumatiky;kolesa;Auto-moto > Kolesá a pneumatiky
am11;am1;1;Nosiče a prenos;nosice-kol;Auto-moto > Nosiče a prenos
am4;am1;1;Príslušenstvo do auta;vybavenie-auta;Auto-moto > Príslušenstvo do auta
nmtx2yxj71vky3g;;0;Cestovanie, šport a outdoor;cestovanie-sport-a-outdoor;Cestovanie, šport a outdoor
g212;nmtx2yxj71vky3g;1;Batérie pre drony a RC modely;baterie-pre-drony-a-rc-modely;Cestovanie, šport a outdoor > Batérie pre drony a RC modely
g131;nmtx2yxj71vky3g;1;Bojové športy;bojove-sporty;Cestovanie, šport a outdoor > Bojové športy
g142;nmtx2yxj71vky3g;1;Cyklistika;cyklistika;Cestovanie, šport a outdoor > Cyklistika
g129;nmtx2yxj71vky3g;1;Doplnkové posilňovacie pomôcky;doplnkove-posilnovacie-pomocky;Cestovanie, šport a outdoor > Doplnkové posilňovacie pomôcky
g137;nmtx2yxj71vky3g;1;Elektrické bežecké pásy;elektricke-bezecke-pasy;Cestovanie, šport a outdoor > Elektrické bežecké pásy
g144;nmtx2yxj71vky3g;1;Elektrické bicykle a cyklotrenažéry;elektricke-bicykle;Cestovanie, šport a outdoor > Elektrické bicykle a cyklotrenažéry
g135;nmtx2yxj71vky3g;1;Fitness náradie a vybavenie;fitness-naradie-a-vybavenie;Cestovanie, šport a outdoor > Fitness náradie a vybavenie
g138;nmtx2yxj71vky3g;1;Hračky;hracky;Cestovanie, šport a outdoor > Hračky
g213;nmtx2yxj71vky3g;1;Nabíjačky pre drony a RC modely;nabijacky-pre-drony-a-rc-modely;Cestovanie, šport a outdoor > Nabíjačky pre drony a RC modely
g133;nmtx2yxj71vky3g;1;Podvodné skútre;podvodne-skutre;Cestovanie, šport a outdoor > Podvodné skútre
g130;nmtx2yxj71vky3g;1;Posilňovanie a fitness;posilnovanie-a-fitness;Cestovanie, šport a outdoor > Posilňovanie a fitness
g141;nmtx2yxj71vky3g;1;Príslušenstvo pre bicykle;prislusenstvo-pre-bicykle;Cestovanie, šport a outdoor > Príslušenstvo pre bicykle
g211;nmtx2yxj71vky3g;1;Príslušenstvo pre drony;prislusenstvo-pre-drony;Cestovanie, šport a outdoor > Príslušenstvo pre drony
g143;nmtx2yxj71vky3g;1;SUP dosky;sup-dosky;Cestovanie, šport a outdoor > SUP dosky
g145;nmtx2yxj71vky3g;1;Stacionárne bicykle;stacionarne-bicykle;Cestovanie, šport a outdoor > Stacionárne bicykle
g132;nmtx2yxj71vky3g;1;Turistika a outdoor;outdoor;Cestovanie, šport a outdoor > Turistika a outdoor
g140;nmtx2yxj71vky3g;1;Zdravotné a rehabilitačné pomôcky;zdravotne-a-rehabilitacne-pomocky;Cestovanie, šport a outdoor > Zdravotné a rehabilitačné pomôcky
g139;nmtx2yxj71vky3g;1;Ďalekohľady;dalekohlady;Cestovanie, šport a outdoor > Ďalekohľady
g134;nmtx2yxj71vky3g;1;Športové vybavenie;sportove-vybavenie;Cestovanie, šport a outdoor > Športové vybavenie
nmtx2z35i18n8n2;;0;Dielňa, náradie a záhrada;dielna-a-zahrada;Dielňa, náradie a záhrada
g68;nmtx2z35i18n8n2;1;Dielenské vybavenie;dielenske-vybavenie;Dielňa, náradie a záhrada > Dielenské vybavenie
g75;g68;2;Chémia pre dielňu;chemia;Dielňa, náradie a záhrada > Dielenské vybavenie > Chémia pre dielňu
g70;g68;2;Ochranné pomôcky a odevy;ochranne-pomocky-a-odevy;Dielňa, náradie a záhrada > Dielenské vybavenie > Ochranné pomôcky a odevy
g71;g68;2;Sťahovacie pásky a drobné príslušenstvo;stahovacie-pasky-a-drobne-prislusenstvo;Dielňa, náradie a záhrada > Dielenské vybavenie > Sťahovacie pásky a drobné príslušenstvo
g63;nmtx2z35i18n8n2;1;Elektronické súčiastky;elektronicke-suciastky;Dielňa, náradie a záhrada > Elektronické súčiastky
g64;nmtx2z35i18n8n2;1;Meracia technika;meracie-technika;Dielňa, náradie a záhrada > Meracia technika
g64e;g64;2;Detektory a lokátory;detektory;Dielňa, náradie a záhrada > Meracia technika > Detektory a lokátory
g64d;g64;2;Infrateplomery a termokamery;infrateplomery-a-termokamery;Dielňa, náradie a záhrada > Meracia technika > Infrateplomery a termokamery
g64i;g64;2;Inšpekčné kamery a endoskopy;inspekcne-kamery-a-endoskopy;Dielňa, náradie a záhrada > Meracia technika > Inšpekčné kamery a endoskopy
g64b;g64;2;Meracie lasery a diaľkomery;meracie-lasery;Dielňa, náradie a záhrada > Meracia technika > Meracie lasery a diaľkomery
g64j;g64;2;Meradlá a meracie pásma;meradla-a-meracie-pasma;Dielňa, náradie a záhrada > Meracia technika > Meradlá a meracie pásma
g64g;g64;2;Meranie neelektrických veličín;meranie-neelektrickych-velicin;Dielňa, náradie a záhrada > Meracia technika > Meranie neelektrických veličín
g64k;g64;2;Merače TV a satelitného signálu;merace-tv-a-satelitneho-signalu;Dielňa, náradie a záhrada > Meracia technika > Merače TV a satelitného signálu
